OMOP	SPOKE
17843	C0032343
45599518	C0032343
45570367	C0032343
45551312	C0032343
45551168	C0032343
45584944	C0032343
18765	C0032343
45599439	C0032343
18489	C0032343
18745	C0032343
45585127	C0032343
18977	C0032343
45599636	C0032343
45541540	C0032343
45560915	C0032343
18519	C0032343
18219	C0032343
18195	C0032343
45570577	C0032343
45560790	C0032343
45585156	C0032343
18717	C0032343
45560896	C0032343
45585132	C0032343
45599560	C0032343
19065	C0032343
19037	C0032343
45570587	C0032343
45584950	C0032343
45556155	C0032343
45570547	C0032343
18015	C0032343
18785	C0032343
18729	C0032343
18949	C0032343
45551370	C0032343
18351	C0032343
45589939	C0032343
45556193	C0032343
44830720	C0032343
45604478	C0032343
45589863	C0032343
45560777	C0032343
45546313	C0032343
17653	C0032343
45541717	C0032343
45541662	C0032343
45604293	C0032343
18881	C0032343
18483	C0032343
45575416	C0032343
45609219	C0032343
17791	C0032343
19137	C0032343
45541606	C0032343
45594686	C0032343
45585118	C0032343
45541674	C0032343
45599410	C0032343
18039	C0032343
45546569	C0032343
45589999	C0032343
45575247	C0032343
44821480	C0032343
18913	C0032343
45575451	C0032343
45608998	C0032343
45570458	C0032343
18555	C0032343
45585144	C0032343
45551150	C0032343
45555914	C0032343
18697	C0032343
45580303	C0032343
18579	C0032343
17967	C0032343
18339	C0032343
45594775	C0032343
45541603	C0032343
44833017	C0032343
19033	C0032343
18793	C0032343
18543	C0032343
18591	C0032343
45604447	C0032343
45594758	C0032343
45594851	C0032343
18027	C0032343
45589902	C0032343
45584896	C0032343
45556077	C0032343
18177	C0032343
45589912	C0032343
18961	C0032343
18725	C0032343
17737	C0032343
18285	C0032343
18387	C0032343
18201	C0032343
45609115	C0032343
45575481	C0032343
45608996	C0032343
18159	C0032343
45604264	C0032343
45585004	C0032343
17671	C0032343
18597	C0032343
45575245	C0032343
18561	C0032343
45609213	C0032343
19141	C0032343
45565701	C0032343
45585169	C0032343
17701	C0032343
45536763	C0032343
45551271	C0032343
45599618	C0032343
45584990	C0032343
45589891	C0032343
45594852	C0032343
18513	C0032343
19097	C0032343
18969	C0032343
45604445	C0032343
45585095	C0032343
45589855	C0032343
19085	C0032343
45556106	C0032343
44828457	C0032343
45604326	C0032343
18641	C0032343
45594684	C0032343
18909	C0032343
45594728	C0032343
45560925	C0032343
17955	C0032343
45585106	C0032343
45560879	C0032343
45560783	C0032343
18417	C0032343
45585137	C0032343
45546505	C0032343
45570467	C0032343
18507	C0032343
45604243	C0032343
18757	C0032343
45551415	C0032343
45575267	C0032343
45599647	C0032343
18321	C0032343
45575426	C0032343
45594757	C0032343
17931	C0032343
45551359	C0032343
45536929	C0032343
45589903	C0032343
45541482	C0032343
45546588	C0032343
1553933	C0032343
45589718	C0032343
45541685	C0032343
45585006	C0032343
45565609	C0032343
45575338	C0032343
45541728	C0032343
45546510	C0032343
17707	C0032343
45599484	C0032343
45609108	C0032343
18117	C0032343
18291	C0032343
45556167	C0032343
17761	C0032343
45609262	C0032343
18701	C0032343
19029	C0032343
45594717	C0032343
18357	C0032343
18997	C0032343
45551192	C0032343
45546498	C0032343
45589828	C0032343
45599480	C0032343
17719	C0032343
45589824	C0032343
18709	C0032343
18021	C0032343
45565506	C0032343
45599514	C0032343
45560688	C0032343
45609032	C0032343
18405	C0032343
45536868	C0032343
45546390	C0032343
18933	C0032343
19125	C0032343
18087	C0032343
45560749	C0032343
45584975	C0032343
45555929	C0032343
45570460	C0032343
18645	C0032343
17901	C0032343
45594764	C0032343
45575373	C0032343
45551245	C0032343
45594819	C0032343
18249	C0032343
45565588	C0032343
17895	C0032343
19129	C0032343
45551257	C0032343
45594624	C0032343
45551376	C0032343
45551201	C0032343
45609188	C0032343
45570649	C0032343
45609197	C0032343
45570412	C0032343
18885	C0032343
45560830	C0032343
45580352	C0032343
45594825	C0032343
1553935	C0032343
45575319	C0032343
45570523	C0032343
18381	C0032343
45599657	C0032343
18567	C0032343
45536796	C0032343
45575393	C0032343
17713	C0032343
18653	C0032343
45546454	C0032343
19069	C0032343
19053	C0032343
18063	C0032343
18957	C0032343
45570559	C0032343
45536847	C0032343
44834199	C0032343
45594598	C0032343
17873	C0032343
45609226	C0032343
45584864	C0032343
19009	C0032343
18637	C0032343
45555946	C0032343
45580308	C0032343
45546512	C0032343
18453	C0032343
19017	C0032343
45551317	C0032343
45565633	C0032343
18749	C0032343
45594748	C0032343
45589758	C0032343
45560744	C0032343
45556036	C0032343
45580277	C0032343
45536934	C0032343
45590002	C0032343
